city,Branch,Latitude,Longitude,Rating,Review Text,Review Date
Riyadh,Al Yasmin,24.8074386,46.661363,4,,قبل 12 ساعة
Riyadh,Al Yasmin,24.8074386,46.661363,5,الوافل يجنن بس المحل مررررا صغير ودايما زحمة تبارك الله,قبل 14 ساعة
Riyadh,Al Yasmin,24.8074386,46.661363,1,"المكان ضيق جداً لا يوجد مواقف
القهوه اقل من عادية
متخصصين في الوافل فقط لايوجد تنوع
لا اكرر الزيارة",قبل 17 ساعة
Riyadh,Al Yasmin,24.8074386,46.661363,5,"قهوتهم حلوه صراحه بس الحجم جدا صغير
الحلويات اكيد تعجب اللي يحبون الشكولاته اما المكان مرا صغير",قبل 20 ساعة
Riyadh,Al Yasmin,24.8074386,46.661363,5,"للأمانة الحلى فرش 👌🏻
القهوة ولا غلطه
يستحق الزيادة وتكرر بإذن الله 🌹",قبل يوم واحد
Riyadh,Al Yasmin,24.8074386,46.661363,5,جميل لكن زحمه ..,قبل يوم واحد
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل يوم واحد
Riyadh,Al Yasmin,24.8074386,46.661363,5,"مكان جميل ومرتب
خدمتهم سريعة ورحبة
زيارتي بشهر ٨ نكهة الشهر  كانت مرة لذيذة
تمازج المكونات لذيذ جداً
الوافل ممتاز مرة
بالتوفيق لكم ❤️❤️",قبل يوم واحد
Riyadh,Al Yasmin,24.8074386,46.661363,5,زرت كافي فلوتد وجربت عندهم الوافل بالبنة والزعتر وكان لذيذ 👌🏻. المكان صغير لكنه مرتب.,قبل يومين (2)
Riyadh,Al Yasmin,24.8074386,46.661363,5,"المقهى فرع الياسمين صغير إلى حداً ما
الخدمة ممتازه وسريعه
الطلب كان قهوه اليوم ممتازه
ايس سولتد فانيلا لاتيه دسم ومتعب للمعده
الحلا وأفل لذيذ جداً.",قبل 3 أيام
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 6 أيام
Riyadh,Al Yasmin,24.8074386,46.661363,4,,قبل 6 أيام
Riyadh,Al Yasmin,24.8074386,46.661363,5,ألذ وافل وكل نكهة احلى من اللي قبلها ❤️‍🔥,قبل 6 أيام
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 6 أيام
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 6 أيام
Riyadh,Al Yasmin,24.8074386,46.661363,2,تجربتي كانت لـ ايس لومي بدون طعم كله ثلج بدون نكهة حسافة التجربة,قبل أسبوع
Riyadh,Al Yasmin,24.8074386,46.661363,4,"وافل الكريم بروليه جيد، ونكهة هذا الشهر اللي بالباشن فروت والشعيريه ألذ بكثيررررر، نكهة هذا الشهر تشيز كيك الفراوله والحبق عاديه، و وافل الكليجا سيء جداً، نكهة هذا الشهر بنانا بودينج عاديه لكن ايس لومي لذيذ، نكهة هذا الشهر اللي باليوزو والنعناع صيفيه و رائعه، نكهة هذا الشهر اللي بالفستق لذيذه، اما نكهة التراميسو سيئه، نكهة هذا الشهر اومبا لومبا سيئه، نكهة البينت بتر مع الجام كنك حاط بينت بتر مع مربى في خبزه!",تاريخ التعديل: قبل أسبوع
Riyadh,Al Yasmin,24.8074386,46.661363,4,"مزدحم القهوة متقنة، الماتشا عادية وحالية، والوافل لذيذ
بشكل عام ليس مميز ولكن لطيف والخدمة جيدة",قبل أسبوع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوع
Riyadh,Al Yasmin,24.8074386,46.661363,3,مو ذاك الزود بالغو بالمدح,قبل أسبوع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوع
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوع
