city,Branch,Latitude,Longitude,Rating,Review Text,Review Date,clean_text,label
Riyadh,Al Yasmin,24.8074386,46.661363,4,,قبل 12 ساعة,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,الوافل يجنن بس المحل مررررا صغير ودايما زحمة تبارك الله,قبل 14 ساعة,الوافل يجنن بس المحل مررا صغير ودايما زحمه تبارك الله,positive
Riyadh,Al Yasmin,24.8074386,46.661363,1,"المكان ضيق جداً لا يوجد مواقف
القهوه اقل من عادية
متخصصين في الوافل فقط لايوجد تنوع
لا اكرر الزيارة",قبل 17 ساعة,المكان ضيق جدا لا يوجد مواقف القهوه اقل من عاديه متخصصين في الوافل فقط لايوجد تنوع لا اكرر الزياره,negative
Riyadh,Al Yasmin,24.8074386,46.661363,5,"قهوتهم حلوه صراحه بس الحجم جدا صغير
الحلويات اكيد تعجب اللي يحبون الشكولاته اما المكان مرا صغير",قبل 20 ساعة,قهوتهم حلوه صراحه بس الحجم جدا صغير الحلويات اكيد تعجب اللي يحبون الشكولاته اما المكان مرا صغير,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,"للأمانة الحلى فرش 👌🏻
القهوة ولا غلطه
يستحق الزيادة وتكرر بإذن الله 🌹",قبل يوم واحد,للامانه الحلي فرش القهوه ولا غلطه يستحق الزياده وتكرر باذن الله,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,جميل لكن زحمه ..,قبل يوم واحد,جميل لكن زحمه,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل يوم واحد,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,"مكان جميل ومرتب
خدمتهم سريعة ورحبة
زيارتي بشهر ٨ نكهة الشهر  كانت مرة لذيذة
تمازج المكونات لذيذ جداً
الوافل ممتاز مرة
بالتوفيق لكم ❤️❤️",قبل يوم واحد,مكان جميل ومرتب خدمتهم سريعه ورحبه زيارتي بشهر ٨ نكهه الشهر كانت مره لذيذه تمازج المكونات لذيذ جدا الوافل ممتاز مره بالتوفيق لكم,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,زرت كافي فلوتد وجربت عندهم الوافل بالبنة والزعتر وكان لذيذ 👌🏻. المكان صغير لكنه مرتب.,قبل يومين (2),زرت كافي فلوتد وجربت عندهم الوافل بالبنه والزعتر وكان لذيذ المكان صغير لكنه مرتب,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,"المقهى فرع الياسمين صغير إلى حداً ما
الخدمة ممتازه وسريعه
الطلب كان قهوه اليوم ممتازه
ايس سولتد فانيلا لاتيه دسم ومتعب للمعده
الحلا وأفل لذيذ جداً.",قبل 3 أيام,المقهي فرع الياسمين صغير الي حدا ما الخدمه ممتازه وسريعه الطلب كان قهوه اليوم ممتازه ايس سولتد فانيلا لاتيه دسم ومتعب للمعده الحلا وافل لذيذ جدا,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 6 أيام,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,4,,قبل 6 أيام,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,ألذ وافل وكل نكهة احلى من اللي قبلها ❤️‍🔥,قبل 6 أيام,الذ وافل وكل نكهه احلي من اللي قبلها,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 6 أيام,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل 6 أيام,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,2,تجربتي كانت لـ ايس لومي بدون طعم كله ثلج بدون نكهة حسافة التجربة,قبل أسبوع,تجربتي كانت ل ايس لومي بدون طعم كله ثلج بدون نكهه حسافه التجربه,negative
Riyadh,Al Yasmin,24.8074386,46.661363,4,وافل الكريم بروليه جيد، ونكهة هذا الشهر اللي بالباشن فروت والشعيريه ألذ بكثيررررر، نكهة هذا الشهر تشيز كيك الفراوله والحبق عاديه، و وافل الكليجا سيء جداً، نكهة هذا الشهر بنانا بودينج عاديه لكن ايس لومي لذيذ، نكهة هذا الشهر اللي باليوزو والنعناع صيفيه و رائعه، نكهة هذا الشهر اللي بالفستق لذيذه، اما نكهة التراميسو سيئه، نكهة هذا الشهر اومبا لومبا سيئه، نكهة البينت بتر مع الجام كنك حاط بينت بتر مع مربى في خبزه!,تاريخ التعديل: قبل أسبوع,وافل الكريم بروليه جيد، ونكهه هذا الشهر اللي بالباشن فروت والشعيريه الذ بكثيرر، نكهه هذا الشهر تشيز كيك الفراوله والحبق عاديه، و وافل الكليجا سيء جدا، نكهه هذا الشهر بنانا بودينج عاديه لكن ايس لومي لذيذ، نكهه هذا الشهر اللي باليوزو والنعناع صيفيه و رايعه، نكهه هذا الشهر اللي بالفستق لذيذه، اما نكهه التراميسو سييه، نكهه هذا الشهر اومبا لومبا سييه، نكهه البينت بتر مع الجام كنك حاط بينت بتر مع مربي في خبزه,positive
Riyadh,Al Yasmin,24.8074386,46.661363,4,"مزدحم القهوة متقنة، الماتشا عادية وحالية، والوافل لذيذ
بشكل عام ليس مميز ولكن لطيف والخدمة جيدة",قبل أسبوع,مزدحم القهوه متقنه، الماتشا عاديه وحاليه، والوافل لذيذ بشكل عام ليس مميز ولكن لطيف والخدمه جيده,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوع,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,3,مو ذاك الزود بالغو بالمدح,قبل أسبوع,مو ذاك الزود بالغو بالمدح,neutral
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوع,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,5,,قبل أسبوع,,positive
Riyadh,Al Yasmin,24.8074386,46.661363,2,الصراحه انا من محبين المقهى لكن الفرع حق الياسمين منرفزين كل مره اجي فيها أبطلب افوقاتو يقول يا مكينة الايسكريم خربانه يا ما فيه ايسكريم فوق ١١ مره على أوقات متفرقة نفس الكلام يعني حرام اضرب مشوار وكل مره ما احصله شله من الفرع ولا تخلني معلق,تاريخ التعديل: قبل أسبوع,الصراحه انا من محبين المقهي لكن الفرع حق الياسمين منرفزين كل مره اجي فيها ابطلب افوقاتو يقول يا مكينه الايسكريم خربانه يا ما فيه ايسكريم فوق ١١ مره علي اوقات متفرقه نفس الكلام يعني حرام اضرب مشوار وكل مره ما احصله شله من الفرع ولا تخلني معلق,negative
Riyadh,Al Yasmin,24.8074386,46.661363,2,مرة صغير المقهى والطاولات جنب بعض والكراسي جداً قليلة,قبل أسبوع,مره صغير المقهي والطاولات جنب بعض والكراسي جدا قليله,negative
Riyadh,Al Yasmin,24.8074386,46.661363,2,بالعادة الوافل الذ ، هالمره كانت ريحته زفر بيض ما قدرت اكمله 😷,تاريخ التعديل: قبل أسبوع,بالعاده الوافل الذ ، هالمره كانت ريحته زفر بيض ما قدرت اكمله,negative
Riyadh,Al Yasmin,24.8074386,46.661363,5,خيال الوافل,قبل أسبوع,خيال الوافل,positive
